[INFO] [1777034802.637044903] [motion_info_to_twist]: Published 33000 Twist messages
[INFO] [1777034812.605771557] [motion_info_to_twist]: Published 33200 Twist messages
[INFO] [1777034822.612447339] [motion_info_to_twist]: Published 33400 Twist messages
[INFO] [1777034832.612385907] [motion_info_to_twist]: Published 33600 Twist messages
[INFO] [1777034842.612468660] [motion_info_to_twist]: Published 33800 Twist messages
[INFO] [1777034852.612586890] [motion_info_to_twist]: Published 34000 Twist messages
[INFO] [1777034862.612689214] [motion_info_to_twist]: Published 34200 Twist messages
[INFO] [1777034872.612868646] [motion_info_to_twist]: Published 34400 Twist messages
[INFO] [1777034882.596083773] [motion_info_to_twist]: Published 34600 Twist messages
[INFO] [1777034892.613225284] [motion_info_to_twist]: Published 34800 Twist messages
[INFO] [1777034902.613147871] [motion_info_to_twist]: Published 35000 Twist messages
[INFO] [1777034912.613460427] [motion_info_to_twist]: Published 35200 Twist messages
[INFO] [1777034922.613440163] [motion_info_to_twist]: Published 35400 Twist messages
[INFO] [1777034932.613481885] [motion_info_to_twist]: Published 35600 Twist messages
[INFO] [1777034942.613640603] [motion_info_to_twist]: Published 35800 Twist messages
[INFO] [1777034952.613566787] [motion_info_to_twist]: Published 36000 Twist messages
[INFO] [1777034962.613997742] [motion_info_to_twist]: Published 36200 Twist messages
[INFO] [1777034972.614066428] [motion_info_to_twist]: Published 36400 Twist messages
[INFO] [1777034982.614212523] [motion_info_to_twist]: Published 36600 Twist messages
[INFO] [1777034992.614540030] [motion_info_to_twist]: Published 36800 Twist messages
[INFO] [1777035002.614398402] [motion_info_to_twist]: Published 37000 Twist messages
[INFO] [1777035012.593910678] [motion_info_to_twist]: Published 37200 Twist messages
[INFO] [1777035022.614877160] [motion_info_to_twist]: Published 37400 Twist messages
[INFO] [1777035032.614816818] [motion_info_to_twist]: Published 37600 Twist messages
[INFO] [1777035042.614981286] [motion_info_to_twist]: Published 37800 Twist messages
[INFO] [1777035052.615044625] [motion_info_to_twist]: Published 38000 Twist messages
[INFO] [1777035062.615113766] [motion_info_to_twist]: Published 38200 Twist messages
[INFO] [1777035072.615541971] [motion_info_to_twist]: Published 38400 Twist messages
[INFO] [1777035082.613443108] [motion_info_to_twist]: Published 38600 Twist messages
[INFO] [1777035092.615492748] [motion_info_to_twist]: Published 38800 Twist messages
[INFO] [1777035102.615576562] [motion_info_to_twist]: Published 39000 Twist messages
[INFO] [1777035112.615788228] [motion_info_to_twist]: Published 39200 Twist messages
[INFO] [1777035122.615881057] [motion_info_to_twist]: Published 39400 Twist messages
[INFO] [1777035132.616459986] [motion_info_to_twist]: Published 39600 Twist messages
[INFO] [1777035142.614454551] [motion_info_to_twist]: Published 39800 Twist messages
[INFO] [1777035152.616190959] [motion_info_to_twist]: Published 40000 Twist messages
[INFO] [1777035162.616289492] [motion_info_to_twist]: Published 40200 Twist messages
[INFO] [1777035172.616416672] [motion_info_to_twist]: Published 40400 Twist messages
[INFO] [1777035182.616563872] [motion_info_to_twist]: Published 40600 Twist messages
[INFO] [1777035192.616602465] [motion_info_to_twist]: Published 40800 Twist messages
[INFO] [1777035202.616838819] [motion_info_to_twist]: Published 41000 Twist messages
[INFO] [1777035212.616845400] [motion_info_to_twist]: Published 41200 Twist messages
[INFO] [1777035222.620743707] [motion_info_to_twist]: Published 41400 Twist messages
[INFO] [1777035232.617236674] [motion_info_to_twist]: Published 41600 Twist messages
[INFO] [1777035242.617154736] [motion_info_to_twist]: Published 41800 Twist messages
[INFO] [1777035252.617379531] [motion_info_to_twist]: Published 42000 Twist messages
[INFO] [1777035262.617496392] [motion_info_to_twist]: Published 42200 Twist messages
[INFO] [1777035272.613550188] [motion_info_to_twist]: Published 42400 Twist messages
[INFO] [1777035282.617762960] [motion_info_to_twist]: Published 42600 Twist messages
[INFO] [1777035292.617821642] [motion_info_to_twist]: Published 42800 Twist messages
[INFO] [1777035302.617931906] [motion_info_to_twist]: Published 43000 Twist messages
[INFO] [1777035312.618105766] [motion_info_to_twist]: Published 43200 Twist messages
[INFO] [1777035322.618231877] [motion_info_to_twist]: Published 43400 Twist messages
[INFO] [1777035332.618261399] [motion_info_to_twist]: Published 43600 Twist messages
[INFO] [1777035342.618233677] [motion_info_to_twist]: Published 43800 Twist messages
[INFO] [1777035352.618464842] [motion_info_to_twist]: Published 44000 Twist messages
[INFO] [1777035362.618641562] [motion_info_to_twist]: Published 44200 Twist messages
[INFO] [1777035372.618759836] [motion_info_to_twist]: Published 44400 Twist messages
[INFO] [1777035382.619578972] [motion_info_to_twist]: Published 44600 Twist messages
[INFO] [1777035392.619158322] [motion_info_to_twist]: Published 44800 Twist messages
[INFO] [1777035402.614124491] [motion_info_to_twist]: Published 45000 Twist messages
[INFO] [1777035412.619254052] [motion_info_to_twist]: Published 45200 Twist messages
[INFO] [1777035422.620128176] [motion_info_to_twist]: Published 45400 Twist messages
[INFO] [1777035432.619433462] [motion_info_to_twist]: Published 45600 Twist messages
[INFO] [1777035442.619526723] [motion_info_to_twist]: Published 45800 Twist messages
[INFO] [1777035452.619634539] [motion_info_to_twist]: Published 46000 Twist messages
[INFO] [1777035462.619784499] [motion_info_to_twist]: Published 46200 Twist messages
[INFO] [1777035472.619965487] [motion_info_to_twist]: Published 46400 Twist messages
[INFO] [1777035482.624954877] [motion_info_to_twist]: Published 46600 Twist messages
[INFO] [1777035492.620113758] [motion_info_to_twist]: Published 46800 Twist messages
[INFO] [1777035502.620180235] [motion_info_to_twist]: Published 47000 Twist messages
[INFO] [1777035512.620377527] [motion_info_to_twist]: Published 47200 Twist messages
[INFO] [1777035522.620399277] [motion_info_to_twist]: Published 47400 Twist messages
[INFO] [1777035532.621379031] [motion_info_to_twist]: Published 47600 Twist messages
[INFO] [1777035542.620657816] [motion_info_to_twist]: Published 47800 Twist messages
[INFO] [1777035552.620949942] [motion_info_to_twist]: Published 48000 Twist messages
[INFO] [1777035562.620892305] [motion_info_to_twist]: Published 48200 Twist messages
[INFO] [1777035572.621137663] [motion_info_to_twist]: Published 48400 Twist messages
